Country,Latitude,Longitude,Average Income (USD),Median Income (USD),Poverty Rate (%),Gini Coefficient,Population
USA,37.0902,-95.7129,34656,25439,15.224234496876655,51.046331552382924,962475694
UK,55.3781,-3.436,17899,44702,1.1195233880929079,43.030340710472714,788286076
India,20.5937,78.9629,8254,41413,35.15845563459899,27.243897507878433,182252744
China,35.8617,104.1954,28599,14652,19.83781757968584,55.799175910664026,967422684
Brazil,-14.235,-51.9253,5011,10470,11.652695806665164,29.35673688974974,676540994
Russia,61.524,105.3188,35296,8152,25.797653257652975,48.913801111974465,501039733
South Africa,-30.5595,22.9375,31615,5798,14.527654043051275,37.09913261697032,397036392
Australia,-25.2744,133.7751,53104,11157,4.223086200409915,37.45937542351062,223564110
Canada,56.1304,-106.3468,57648,34319,38.54479277472744,40.82584989137958,834616141
Germany,51.1657,10.4515,11607,27077,29.227409097420654,58.66709305605199,597461844
